DNAvision ID,Customer ID,Nb of clusters
DNA11161-001-L1,TN_1BIS_T,36882086
DNA11161-002-L1,TN_2BIS_T,52610378
DNA11161-003-L1,TN_3BIS_T,16846230
DNA11161-004-L1,TN_5BIS_T,21766703
DNA11161-005-L1,TN_15_T,27855281
DNA11161-006-L1,TN_15_N,24005172
DNA11161-007-L1,TN_16_T,35011452
DNA11161-008-L1,TN_17_T,39945002
DNA11161-009-L1,TN_17_N,35844563
DNA11161-010-L1,TN_18_T,41218138
DNA11161-011-L1,TN_18_N,33878284
DNA11161-012-L1,TN_19_T,9631975
DNA11161-013-L1,TN_20_T,39637398
DNA11161-014-L1,TN_21_T,31938902
DNA11161-015-L1,TN_22_T,31400325
DNA11161-016-L1,TN_23_T,24707494
DNA11161-017-L1,TN_24_T,34478845
DNA11161-018-L1,TN_25_T,21587551
DNA11161-019-L1,TN_26_T,27738762
DNA11161-020-L1,TN_27_T,31748154
DNA11161-021-L1,TN_28_T,22875910
DNA11161-022-L1,HER2_2BIS_T,29171730
DNA11161-023-L1,HER2_3BIS_T,29416649
DNA11161-024-L1,HER2_13_T,31939802
DNA11161-025-L1,HER2_13_N,32538007
DNA11161-026-L1,HER2_14_T,24791048
DNA11161-027-L1,HER2_14_N,34470309
DNA11161-028-L1,HER2_15_T,30208258
DNA11161-029-L1,HER2_16_T,30055729
DNA11161-030-L1,HER2_18_T,33138400
DNA11161-031-L1,HER2_19_T,33197158
DNA11161-032-L1,HER2_20_T,41827749
DNA11161-033-L1,HER2_21_T,45317476
DNA11161-034-L1,HER2_22_T,24412268
DNA11161-035-L1,HER2_23_T,33196960
DNA11161-036-L1,HER2_24_T,22252242
DNA11161-037-L1,LUMA_4BIS_T,31674874
DNA11161-038-L1,LUMA_3BIS_T,42379544
DNA11161-039-L1,LUMA_18_T,24913029
DNA11161-040-L1,LUMA_18_N,26714231
DNA11161-041-L1,LUMA_19_T,41351789
DNA11161-042-L1,LUMA_19_N,20717667
DNA11161-043-L1,LUMA_20_T,16190986
DNA11161-044-L1,LUMA_20_N,11265218
DNA11161-045-L1,LUMA_21_T,37746649
DNA11161-046-L1,LUMA_22_T,29706802
DNA11161-047-L1,LUMA_23_T,20816740
DNA11161-048-L1,LUMA_24_T,19556149
DNA11161-049-L1,LUMA_25_T,24235320
DNA11161-050-L1,LUMA_26_T,35131716
DNA11161-051-L1,LUMA_27_T,32277905
DNA11161-052-L1,LUMA_28_T,31500560
DNA11161-053-L1,LUMA_29_T,11547815
DNA11161-054-L1,LUMA_31_T,38929936
DNA11161-055-L1,LUMA_32_T,33628557
DNA11161-056-L1,LUMA_33_T,37112242
DNA11161-057-L1,LUMB_1BIS_T,33087019
DNA11161-058-L1,LUMB_3BIS_T,20742030
DNA11161-059-L1,LUMB_5BIS_T,27572626
DNA11161-060-L1,LUMB_15_T,17673177
DNA11161-061-L1,LUMB_15_N,27682226
DNA11161-062-L1,LUMB_17_T,34127376
DNA11161-063-L1,LUMB_18_T,27404860
DNA11161-064-L1,LUMB_19_T,32059633
DNA11161-065-L1,LUMB_20_T,55684229
DNA11161-066-L1,LUMB_21_T,31338863
DNA11161-067-L1,LUMB_22_T,38305872
DNA11161-068-L1,LUMB_23_T,56731326
DNA11161-069-L1,LUMB_23_N,62140216
